31.7.16.0,31.7.31.255,4096,11/04/11,Elisa Oyj
37.16.96.0,37.16.127.255,8192,19/12/11,F-Solutions Oy
37.33.0.0,37.33.255.255,65536,02/01/12,DNA Oy
37.35.16.0,37.35.31.255,4096,05/01/12,EURAJOEN PUHELIN OSK
37.98.128.0,37.98.143.255,4096,06/02/12,Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd
37.130.160.0,37.130.191.255,8192,22/02/12,DNA Oy
37.136.0.0,37.136.255.255,65536,22/02/12,DNA Oy
37.219.0.0,37.219.255.255,65536,02/04/12,DNA Oy
46.23.160.0,46.23.175.255,4096,09/12/10,Harkatien Puhelin Oy
46.132.0.0,46.132.255.255,65536,20/10/10,TeliaSonera Finland Oyj
46.163.192.0,46.163.255.255,16384,02/12/10,Blue Lake Communications Oy
46.173.224.0,46.173.239.255,4096,10/02/11,
46.228.128.0,46.228.143.255,4096,07/02/11,F-Secure Oyj
62.44.192.0,62.44.255.255,16384,19/12/01,DNA Oy
62.61.64.0,62.61.127.255,16384,06/06/01,Verizon Finland Oy
62.71.0.0,62.71.255.255,65536,19/04/01,TeliaSonera Finland Oyj
62.72.224.0,62.72.255.255,8192,09/10/02,Jakobstadsnejdens Telefon Ab
62.73.32.0,62.73.63.255,8192,11/10/02,TeliaSonera Finland Oyj
62.78.96.0,62.78.127.255,8192,06/11/02,DNA Oy
62.78.128.0,62.78.255.255,32768,18/09/01,DNA Oy
62.80.128.0,62.80.159.255,8192,28/06/00,Jakobstadsnejdens Telefon Ab
62.106.0.0,62.106.31.255,8192,13/03/07,Pohjois-Hameen Puhelin Oy
62.106.32.0,62.106.47.255,4096,13/03/07,Pohjois-Hameen Puhelin Oy
62.106.48.0,62.106.63.255,4096,13/03/07,Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd
62.113.160.0,62.113.191.255,8192,04/03/02,DNA Oy
62.121.32.0,62.121.63.255,8192,14/01/03,SSP Yhtiot Oy
62.142.0.0,62.142.255.255,65536,21/09/00,Elisa Oyj
62.145.160.0,62.145.191.255,8192,05/03/02,Kaisanet Oy
62.148.96.0,62.148.127.255,8192,18/12/02,Pohjois-Karjalan Tietotekniikkakeskus Oy
62.148.192.0,62.148.223.255,8192,30/06/00,Anvia Oyj
62.165.128.0,62.165.159.255,8192,01/08/00,DNA Oy
62.165.160.0,62.165.191.255,8192,21/02/01,DNA Oy
62.176.32.0,62.176.63.255,8192,15/05/00,Verizon Finland Oy
62.183.128.0,62.183.255.255,32768,28/11/02,DNA Oy
62.197.160.0,62.197.191.255,8192,20/03/02,DNA Oy
62.204.0.0,62.204.31.255,8192,10/06/05,TNNet Oy
62.216.96.0,62.216.127.255,8192,25/10/01,Elisa Oyj
62.220.224.0,62.220.255.255,8192,20/05/03,Oy IW-Net Ltd
62.236.0.0,62.236.255.255,65536,01/04/98,DNA Oy
62.237.0.0,62.237.255.255,65536,25/09/00,DNA Oy
62.240.64.0,62.240.95.255,8192,22/06/00,Elisa Oyj
62.241.192.0,62.241.255.255,16384,18/02/03,DNA Oy
62.248.128.0,62.248.255.255,32768,21/12/00,Elisa Oyj
77.86.128.0,77.86.255.255,32768,30/03/07,Nebula Oy
77.105.64.0,77.105.127.255,16384,05/12/06,LPOnet Oy
77.109.192.0,77.109.255.255,16384,25/01/07,Elisa Oyj
77.223.32.0,77.223.63.255,8192,19/04/07,Kaisanet Oy
77.234.96.0,77.234.127.255,8192,05/01/07,Paraisten Puhelin Oy
77.240.16.0,77.240.31.255,4096,05/01/07,Louhi Net Oy
77.246.192.0,77.246.207.255,4096,24/05/07,Suomi Communications Oy
78.27.64.0,78.27.127.255,16384,07/09/07,DNA Oy
79.133.0.0,79.133.31.255,8192,03/10/07,Alands Datakommunikation Ab
79.134.96.0,79.134.127.255,8192,22/10/07,Suomi Communications Oy
79.141.144.0,79.141.159.255,4096,22/10/07,Mikkelin Puhelin Oyj
80.64.0.0,80.64.15.255,4096,08/05/01,DNA Oy
80.66.160.0,80.66.175.255,4096,17/05/01,University of Jyvaskyla, Commercial Internet Services
80.71.192.0,80.71.207.255,4096,07/06/01,EPTE Oy
80.74.192.0,80.74.207.255,4096,19/06/01,TeliaSonera Finland Oyj
80.74.208.0,80.74.223.255,4096,15/11/01,TeliaSonera Finland Oyj
80.75.96.0,80.75.111.255,4096,20/06/01,Netplaza Oy
80.81.160.0,80.81.175.255,4096,24/07/01,Elisa Oyj
80.81.176.0,80.81.191.255,4096,16/09/02,Elisa Oyj
80.83.0.0,80.83.15.255,4096,30/07/01,MMD Networks Oy
80.88.176.0,80.88.191.255,4096,26/05/05,Elisa Oyj
80.95.128.0,80.95.143.255,4096,08/10/01,Etela-Satakunnan Puhelin Oy
80.186.0.0,80.186.255.255,65536,28/05/02,Elisa Oyj
80.220.0.0,80.223.255.255,262144,27/03/02,TeliaSonera Finland Oyj
80.242.16.0,80.242.31.255,4096,28/04/09,Ixonos Plc
80.246.144.0,80.246.159.255,4096,18/10/05,Etela-Satakunnan Puhelin Oy
80.246.160.0,80.246.175.255,4096,08/11/01,Pohjoisen Keski-Suomen Verkkopalvelut Oy
80.247.240.0,80.247.255.255,4096,27/10/05,FSP Net
80.248.96.0,80.248.111.255,4096,16/11/01,Elisa Oyj
80.248.112.0,80.248.127.255,4096,27/12/01,Elisa Oyj
80.248.160.0,80.248.175.255,4096,19/11/01,CGI Suomi Oy
